conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:67_conv:134,1,grateful,I was grateful when my mother visited me for my birthday.,4,It was my birthday and my mother came to surprise me.,5|5|5_1|5|5,
hit:67_conv:134,2,grateful,I was grateful when my mother visited me for my birthday.,11,Aw thats so nice_comma_ how did she surprise you? ,5|5|5_1|5|5,
hit:67_conv:134,3,grateful,I was grateful when my mother visited me for my birthday.,4,She showed up to my house and brought me a cake.,5|5|5_1|5|5,
hit:67_conv:134,4,grateful,I was grateful when my mother visited me for my birthday.,11,Cakes! yessss winning. :) ,5|5|5_1|5|5,
hit:76_conv:152,1,sad,My birthday was last weekend_comma_ and no one wished me a Happy Birthday.,1,My birthday was last weekend_comma_ and no one wished me a Happy Birthday.,5|5|5_I have clicked the 'End Chat' button thank you!|4|5,
hit:76_conv:152,2,sad,My birthday was last weekend_comma_ and no one wished me a Happy Birthday.,53,I'm so sorry to hear that. How sad for you.,5|5|5_I have clicked the 'End Chat' button thank you!|4|5,
hit:76_conv:152,3,sad,My birthday was last weekend_comma_ and no one wished me a Happy Birthday.,1,It is. I've been absorbed in work for the last 3 years and haven't gone out. So I guess everyone kinda moved on without me.,5|5|5_I have clicked the 'End Chat' button thank you!|4|5,
hit:76_conv:152,4,sad,My birthday was last weekend_comma_ and no one wished me a Happy Birthday.,53,Did he ditch you as well? And how did the girlfriend react?,5|5|5_I have clicked the 'End Chat' button thank you!|4|5,
hit:76_conv:153,1,surprised,I was thrown a surprise party for my 30th birthday.,53,For my 30th birthday_comma_ my family and friends got together and threw me a surprise birthday party.,I have clicked the 'End Chat' button thank you!|4|5_5|5|5,
hit:76_conv:153,2,surprised,I was thrown a surprise party for my 30th birthday.,1,Very nice! Where was the party?,I have clicked the 'End Chat' button thank you!|4|5_5|5|5,
hit:76_conv:153,3,surprised,I was thrown a surprise party for my 30th birthday.,53,It was held at my parent's house in New Orleans.,I have clicked the 'End Chat' button thank you!|4|5_5|5|5,
hit:76_conv:153,4,surprised,I was thrown a surprise party for my 30th birthday.,1,That's really sweet of them. Must've been a big party.,I have clicked the 'End Chat' button thank you!|4|5_5|5|5,
hit:76_conv:153,5,surprised,I was thrown a surprise party for my 30th birthday.,53,Last year my family surprised me for my birthday with a party.,I have clicked the 'End Chat' button thank you!|4|5_5|5|5,
hit:79_conv:159,1,hopeful,I'm trying to sell my house. It's been on the market for a year now_comma_ but I think I found someone who might buy it.  I'm trying to move to another area.,40,I think I found someone that's interested in my house finally . It's been on the market for over a year now. ,5|5|5_5|5|5,
hit:79_conv:159,2,hopeful,I'm trying to sell my house. It's been on the market for a year now_comma_ but I think I found someone who might buy it.  I'm trying to move to another area.,1,That can be stressful. I hope you get the sale. What will you do afterwards?,5|5|5_5|5|5,
hit:79_conv:159,3,hopeful,I'm trying to sell my house. It's been on the market for a year now_comma_ but I think I found someone who might buy it.  I'm trying to move to another area.,40,I will move to a less rural area. It's very isolated and you have to have a vehicle for transportation.,5|5|5_5|5|5,
hit:79_conv:159,4,hopeful,I'm trying to sell my house. It's been on the market for a year now_comma_ but I think I found someone who might buy it.  I'm trying to move to another area.,1,Do you prefer the isolation?,5|5|5_5|5|5,
hit:79_conv:159,5,hopeful,I'm trying to sell my house. It's been on the market for a year now_comma_ but I think I found someone who might buy it.  I'm trying to move to another area.,40,No_comma_ that's why I'm selling actually. ,5|5|5_5|5|5,
hit:82_conv:164,1,anticipating,waiting for christmas! ,11,I cant wait to buy my christmas tree this year_comma_ lol.. funny right? ...but I am actually really excited. ,5|5|5_5|5|5,
hit:82_conv:164,2,anticipating,waiting for christmas! ,40,Do you usually get a live one ?,5|5|5_5|5|5,
hit:82_conv:164,3,anticipating,waiting for christmas! ,11,I thought about it_comma_ but dont think I could handle one. Do you have one? ,5|5|5_5|5|5,
hit:82_conv:164,4,anticipating,waiting for christmas! ,40,Just a small fake one. Some people get really into decorating. I don't really like it. ,5|5|5_5|5|5,
hit:83_conv:166,1,surprised,I was thrown a party yesterday and had no idea it was happening.,46,So I came home from work yesterday and when I walked in the apartment Sally had all my friends and family inside.,3|4|4_5|5|5,
hit:83_conv:166,2,surprised,I was thrown a party yesterday and had no idea it was happening.,27,surprise party or intervention,3|4|4_5|5|5,
hit:83_conv:166,3,surprised,I was thrown a party yesterday and had no idea it was happening.,46,It was a surprise party I turned 25. I honestly thought they all had forgotten.,3|4|4_5|5|5,
hit:83_conv:166,4,surprised,I was thrown a party yesterday and had no idea it was happening.,27,How sweet! I hope someone throws me one one day.,3|4|4_5|5|5,
hit:84_conv:169,1,terrified,When i was moving and lost my insurance to my car. ,11,I was in the middle of a long distance move_comma_ and somehow misplaced my drivers registration and car insurance!!! ,5|5|5_4|5|4,
hit:84_conv:169,2,terrified,When i was moving and lost my insurance to my car. ,34,Oh no that is not good,5|5|5_4|5|4,
hit:84_conv:169,3,terrified,When i was moving and lost my insurance to my car. ,11,I know I was so scared_comma_ and nervous.. it almost ruined the entire trip. ,5|5|5_4|5|4,
hit:84_conv:169,4,terrified,When i was moving and lost my insurance to my car. ,34,Did you finally find it,5|5|5_4|5|4,
hit:86_conv:173,1,furious,My child lied to me_comma_ and went somewhere he shouldnt have went. ,11,So I found something out the other night that made me extremely upset! ,5|5|5_5|5|5,
hit:86_conv:173,2,furious,My child lied to me_comma_ and went somewhere he shouldnt have went. ,1,What happened?!,5|5|5_5|5|5,
hit:86_conv:173,3,furious,My child lied to me_comma_ and went somewhere he shouldnt have went. ,11,My child went out behind my back_comma_ and snuck out! ,5|5|5_5|5|5,
hit:86_conv:173,4,furious,My child lied to me_comma_ and went somewhere he shouldnt have went. ,1,Oh no. Guess they have finally reached that rebellious age. What did you do?,5|5|5_5|5|5,
hit:92_conv:184,1,impressed,I was impressed by the new Tesla.,4,I was impressed with the new Tesla that I test drove.,5|5|5_3|5|5,
hit:92_conv:184,2,impressed,I was impressed by the new Tesla.,11,I bet that was rather fun_comma_ how fast did you get it going? ,5|5|5_3|5|5,
hit:92_conv:184,3,impressed,I was impressed by the new Tesla.,4,Over 100mph.,5|5|5_3|5|5,
hit:92_conv:184,4,impressed,I was impressed by the new Tesla.,11,Wow! You are crazy_comma_ ha ha - i probably would have had a panic attack at 90MPH. :p,5|5|5_3|5|5,
hit:94_conv:189,1,sad,I was sad when my grandma died.,4,My grandma died. I am so sad.,5|4|5_3|4|I have clicked the 'End Chat' button thank you!,
hit:94_conv:189,2,sad,I was sad when my grandma died.,46,Im sorry to hear that. Was it from age or complications?,5|4|5_3|4|I have clicked the 'End Chat' button thank you!,
hit:94_conv:189,3,sad,I was sad when my grandma died.,4,Age but she also smoked.,5|4|5_3|4|I have clicked the 'End Chat' button thank you!,
hit:94_conv:189,4,sad,I was sad when my grandma died.,46,Yeah that is not good. But everyone does have a time to go you know?,5|4|5_3|4|I have clicked the 'End Chat' button thank you!,
hit:105_conv:210,1,joyful,I was joyful when my son was born.,4,I was so happy when my son was born.,5|5|5_3|4|5,
hit:105_conv:210,2,joyful,I was joyful when my son was born.,27,awww. don't tell anyone but my son is my favorite child. I have two girls also.,5|5|5_3|4|5,
hit:105_conv:210,3,joyful,I was joyful when my son was born.,4,I won't tell anyone.,5|5|5_3|4|5,
hit:105_conv:210,4,joyful,I was joyful when my son was born.,27,How old is your son now?,5|5|5_3|4|5,
hit:110_conv:220,1,ashamed,I am ashamed I lied to the police.,4,I lied to the police. I am ashamed.,5|5|5_4|3|4,
hit:110_conv:220,2,ashamed,I am ashamed I lied to the police.,46,You should never lie to them. What did you say?,5|5|5_4|3|4,
hit:110_conv:220,3,ashamed,I am ashamed I lied to the police.,4,I said I did not know where my friend was.,5|5|5_4|3|4,
hit:110_conv:220,4,ashamed,I am ashamed I lied to the police.,46,Did your friend do something bad? Why were they looking for them,5|5|5_4|3|4,
hit:112_conv:225,1,disgusted,I am disgusted that the criminal got away.,4,I tried to catch a criminal but he got away.,5|5|5_5|5|5,
hit:112_conv:225,2,disgusted,I am disgusted that the criminal got away.,27,Did he have a weapon?,5|5|5_5|5|5,
hit:112_conv:225,3,disgusted,I am disgusted that the criminal got away.,4,Yes but only a small knife.,5|5|5_5|5|5,
hit:112_conv:225,4,disgusted,I am disgusted that the criminal got away.,27,What were you gonna do if you caught him?,5|5|5_5|5|5,
hit:114_conv:228,1,grateful,I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,1,I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,5|5|5_3|4|4,
hit:114_conv:228,2,grateful,I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,46,Wow! Have you looked to see how much it is worth? You could have some money.,5|5|5_3|4|4,
hit:114_conv:228,3,grateful,I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,1,It's enough to pay 1 year's worth of mortgage. Wondering if I should sell it or hold now.,5|5|5_3|4|4,
hit:114_conv:228,4,grateful,I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,46,You might want to talk to a financial adviser about it.,5|5|5_3|4|4,
hit:115_conv:230,1,hopeful,I just applied for a promotion_comma_ and I should earn at least 10k more.,1,I just applied for a promotion_comma_ and I should earn at least 10k more.,5|5|5_3|5|5,
hit:115_conv:230,2,hopeful,I just applied for a promotion_comma_ and I should earn at least 10k more.,53,That's awesome. Do you think you will get it?,5|5|5_3|5|5,
hit:115_conv:230,3,hopeful,I just applied for a promotion_comma_ and I should earn at least 10k more.,1,I hope so! It will help finances a lot.,5|5|5_3|5|5,
hit:115_conv:230,4,hopeful,I just applied for a promotion_comma_ and I should earn at least 10k more.,53,Yes_comma_ definitely. Do you plan on buying anything new?,5|5|5_3|5|5,
hit:120_conv:240,1,nostalgic,seeing photos of my hometown,11,Whenever I see my friends on FB posting photos from my hometown I always start to miss it a little. ,5|5|5_5|5|5,
hit:120_conv:240,2,nostalgic,seeing photos of my hometown,27,Awww. Do you ever go back and visit?,5|5|5_5|5|5,
hit:120_conv:240,3,nostalgic,seeing photos of my hometown,11,I havent been back yet but maybe I will in the winter so I can experience the snow again. ,5|5|5_5|5|5,
hit:120_conv:240,4,nostalgic,seeing photos of my hometown,27,Where is rou hometown?,5|5|5_5|5|5,
hit:122_conv:245,1,surprised,I was surprised when Trump won the election.,4,I was surprised when Trump won the election.,5|5|5_5|5|5,
hit:122_conv:245,2,surprised,I was surprised when Trump won the election.,27,You? I thought I was dreaming,5|5|5_5|5|5,
hit:122_conv:245,3,surprised,I was surprised when Trump won the election.,4,Yes_comma_ Big upset.,5|5|5_5|5|5,
hit:122_conv:245,4,surprised,I was surprised when Trump won the election.,27,Well_comma_ no use crying over silled milk I say.,5|5|5_5|5|5,
hit:126_conv:253,1,devastated, I was devastated when the Falcons blew the Super Bowl.,4,I can't believe the Falcons blew the Super Bowl. I was there.,5|5|5_4|4|4,
hit:126_conv:253,2,devastated, I was devastated when the Falcons blew the Super Bowl.,55,Oh you were? I really am not a huge sports fan_comma_ so what was so big about this?,5|5|5_4|4|4,
hit:126_conv:253,3,devastated, I was devastated when the Falcons blew the Super Bowl.,4,It had never happened before.,5|5|5_4|4|4,
hit:126_conv:253,4,devastated, I was devastated when the Falcons blew the Super Bowl.,55,Never once? Damn_comma_ no wonder you were so shocked by it!,5|5|5_4|4|4,
hit:127_conv:255,1,excited,I am excited for football season.,4,I love football_comma_ are you ready for the season?,5|5|5_5|5|5,
hit:127_conv:255,2,excited,I am excited for football season.,51,Yes_comma_ when does the season start?,5|5|5_5|5|5,
hit:127_conv:255,3,excited,I am excited for football season.,4,August_comma_ Can't wait.,5|5|5_5|5|5,
hit:127_conv:255,4,excited,I am excited for football season.,51,That's exciting_comma_ who's your favorite team?,5|5|5_5|5|5,
hit:128_conv:257,1,apprehensive,I was apprehensive to get married.,4,I was apprehensive to get married.,5|5|5_5|4|5,
hit:128_conv:257,2,apprehensive,I was apprehensive to get married.,51,Do you regret it now that you are?,5|5|5_5|4|5,
hit:128_conv:257,3,apprehensive,I was apprehensive to get married.,4,No_comma_ but I am still worried.,5|5|5_5|4|5,
hit:128_conv:257,4,apprehensive,I was apprehensive to get married.,51,Why are you worried still?,5|5|5_5|4|5,
hit:135_conv:270,1,nostalgic,I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,55,I was feeling really ambitious the other day and I decided to drive into the parking lot of my old elementary school just to see all the things I used to see years ago.,5|5|5_5|5|5,
hit:135_conv:270,2,nostalgic,I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,56,Was it as you remembered it?,5|5|5_5|5|5,
hit:135_conv:270,3,nostalgic,I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,55,It was exactly the same! I was super surprised that no renovations were made_comma_ the same playground and buildings and everything.,5|5|5_5|5|5,
hit:135_conv:270,4,nostalgic,I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,56,That is amazing that it was not torn down or remodeled.  They seem to throw way too many buildings away these days.,5|5|5_5|5|5,
hit:136_conv:272,1,impressed,I really like our new football coach.,4,I really like the new football coach.,5|5|5_3|3|3,
hit:136_conv:272,2,impressed,I really like our new football coach.,47,I like football_comma_ who are you talking about? what team?,5|5|5_3|3|3,
hit:136_conv:272,3,impressed,I really like our new football coach.,4,The Falcons and their new defensive coach.,5|5|5_3|3|3,
hit:136_conv:272,4,impressed,I really like our new football coach.,47,Oh i see! are you excited with him? do you think they can go for the super bowl?,5|5|5_3|3|3,
hit:148_conv:297,1,guilty,I recall a time when I had to go to my cousin's birthday part_comma_ and I overslept! I felt really guilty about that.,59,It is something that was really important to her_comma_ and I still feel bad that I missed her 15th birthday ,4|5|5_5|5|5,
hit:148_conv:297,2,guilty,I recall a time when I had to go to my cousin's birthday part_comma_ and I overslept! I felt really guilty about that.,7,Who is she?,4|5|5_5|5|5,
hit:148_conv:297,3,guilty,I recall a time when I had to go to my cousin's birthday part_comma_ and I overslept! I felt really guilty about that.,59,My cousin_comma_ she really wanted me to attend her party since she enjoys my cooking and I had planned on making cookies,4|5|5_5|5|5,
hit:148_conv:297,4,guilty,I recall a time when I had to go to my cousin's birthday part_comma_ and I overslept! I felt really guilty about that.,7,That is bad. Did you bought her a good present so she can forget about it?,4|5|5_5|5|5,
hit:150_conv:300,1,impressed,My brother recently applied to an Ivy League school. We just found out he was accepted.,35,My brother applied for an Ivy League school this year_comma_ and we just found out he was accepted!,5|5|5_5|5|5,
hit:150_conv:300,2,impressed,My brother recently applied to an Ivy League school. We just found out he was accepted.,62,Nice_comma_ I am glad to hear about that ,5|5|5_5|5|5,
hit:150_conv:300,3,impressed,My brother recently applied to an Ivy League school. We just found out he was accepted.,35,Yeah_comma_ it was vey exciting news_comma_ I'm so proud of him.,5|5|5_5|5|5,
hit:150_conv:300,4,impressed,My brother recently applied to an Ivy League school. We just found out he was accepted.,62,How old is he?,5|5|5_5|5|5,
hit:157_conv:314,1,surprised,I was surprised when my parents picked me up from work in a new car for me. I did not expect that at all!,10,my parents picked me up from work in a new car for me when I turned 17_comma_ I was so surprised,5|5|5_5|4|5,
hit:157_conv:314,2,surprised,I was surprised when my parents picked me up from work in a new car for me. I did not expect that at all!,65,Did this make you excited?,5|5|5_5|4|5,
hit:157_conv:314,3,surprised,I was surprised when my parents picked me up from work in a new car for me. I did not expect that at all!,10,I was very excited_comma_ just to have a car at all is awesome!,5|5|5_5|4|5,
hit:157_conv:314,4,surprised,I was surprised when my parents picked me up from work in a new car for me. I did not expect that at all!,65,What type of car was it?,5|5|5_5|4|5,
hit:163_conv:326,1,surprised,My friend's parents are missionaries and therefore go to Africa all the time_comma_ so it was no big deal when I heard he was going to Samoa for a while. What I didn't know is that he was actually moving there for a few years_comma_ which I really didn't expect.,55,I don't really know how to react to this_comma_ but one of my friends told me a few days ago that not only is he going to Samoa for a while (which didn't surprise me because he and his family go to Africa all the time)_comma_ but he's staying and moving there for a few years.,4|4|4_5|5|5,
hit:163_conv:326,2,surprised,My friend's parents are missionaries and therefore go to Africa all the time_comma_ so it was no big deal when I heard he was going to Samoa for a while. What I didn't know is that he was actually moving there for a few years_comma_ which I really didn't expect.,35,Wow_comma_ that's quite a move. Did he say why he's staying in Samoa so long?,4|4|4_5|5|5,
hit:163_conv:326,3,surprised,My friend's parents are missionaries and therefore go to Africa all the time_comma_ so it was no big deal when I heard he was going to Samoa for a while. What I didn't know is that he was actually moving there for a few years_comma_ which I really didn't expect.,55,I think it's because he dropped out of school here and doesn't have much reason to stay in America_comma_ since he can start a new life over there. Kinda makes me sad though_comma_ I didn't expect it at all.,4|4|4_5|5|5,
hit:163_conv:326,4,surprised,My friend's parents are missionaries and therefore go to Africa all the time_comma_ so it was no big deal when I heard he was going to Samoa for a while. What I didn't know is that he was actually moving there for a few years_comma_ which I really didn't expect.,35,I can understand that. It's hard to say goodbye to a friend_comma_ I hope you can stay in contact with him.,4|4|4_5|5|5,
hit:174_conv:348,1,confident,I felt confident when I won the honor society election in high school. I beat someone way more popular,10,When I won the honor society president election I was so confident in myself!,5|5|5_3|5|5,
hit:174_conv:348,2,confident,I felt confident when I won the honor society election in high school. I beat someone way more popular,53,I bet so. I've never done anything like that before.,5|5|5_3|5|5,
hit:174_conv:348,3,confident,I felt confident when I won the honor society election in high school. I beat someone way more popular,10,I beat someone way more popular_comma_ that is what made it surprising to me,5|5|5_3|5|5,
hit:174_conv:348,4,confident,I felt confident when I won the honor society election in high school. I beat someone way more popular,53,That is surprising. Usually these things are a popularity contest.,5|5|5_3|5|5,
hit:176_conv:352,1,surprised,I was shocked when I got a new car. My parents surprised me so well!,10,I was shocked when I got a new car. My parents surprised me so well,5|5|5_4|5|5,
hit:176_conv:352,2,surprised,I was shocked when I got a new car. My parents surprised me so well!,55,Damn_comma_ I wish I had a car myself. What was the occasion?,5|5|5_4|5|5,
hit:176_conv:352,3,surprised,I was shocked when I got a new car. My parents surprised me so well!,10,my birthday!,5|5|5_4|5|5,
hit:176_conv:352,4,surprised,I was shocked when I got a new car. My parents surprised me so well!,55,Cool_comma_ 16th birthday or what?,5|5|5_4|5|5,
