Sr No.	Utterance	Speaker	Emotion	Sentiment	Dialogue_ID	Utterance_ID	Season	Episode	StartTime	EndTime
130	Chandler's gone again!	Ross	surprise	negative	12	3	7	24	0:12:07,185	0:12:07,866
131	Oh my God! Why would you play hide and seek with someone you know is a flight risk?!	Phoebe	sadness	negative	12	4	7	24	00:12:08,060	00:12:13,481
132	Okay. You ready to push again?	Dr. Harad	neutral	neutral	13	0	5	3	00:16:02,544	00:16:04,504
133	I already had a baby. Leave me alone.	Phoebe	anger	negative	13	1	5	3	00:16:04,755	00:16:07,048
134	Okay, okay, come on, you can do it. You can do it!	Frank	joy	positive	13	2	5	3	00:16:07,257	00:16:10,593
135	Yeah!!	Frank	joy	positive	13	3	5	3	00:16:18,352	00:16:19,769
136	[NAME] is here!	Frank	joy	positive	13	4	5	3	0:16:20,479	0:16:22,451
137	We got another one!	Frank	surprise	positive	13	5	5	3	0:16:22,451	0:16:23,168
138	Oh my God, I ca n't believe I have two-two children.	Frank	surprise	positive	13	6	5	3	00:16:23,983	00:16:27,485
139	How scary is that?	Frank	surprise	positive	13	7	5	3	00:16:28,529	00:16:30,405
140	Come on little [NAME], it 's time to be born. Come on little [NAME]! Come on!	Frank	joy	positive	13	8	5	3	00:16:34,034	00:16:38,579
141	All right, he 's coming. He 's coming!	Dr. Harad	joy	positive	13	9	5	3	00:16:39,456	00:16:41,541
142	Hey, where 's his thing?	Frank	surprise	negative	13	10	5	3	00:16:46,005	00:16:47,922
143	[NAME] 's a girl!	Frank	surprise	positive	13	11	5	3	00:16:52,136	00:16:53,678
144	Oh God, kindergarten flashback.	Chandler	surprise	negative	13	12	5	3	00:16:55,681	00:16:58,141
145	They musta read the sonogram wrong.	Frank	surprise	negative	13	13	5	3	00:16:59,476	00:17:03,146
146	Cause they, 'cause they thought it was a boy, but [NAME] 's a girl!	Frank	surprise	positive	13	14	5	3	00:16:59,476	00:17:05,440
147	[NAME] 's a girl!	Frank	surprise	positive	13	15	5	3	00:17:03,397	00:17:05,440
148	Okay, keep saying it!	Chandler	joy	positive	13	16	5	3	00:17:05,649	00:17:07,316
149	Am I too late?!	Alice	neutral	neutral	13	17	5	3	00:17:08,777	00:17:11,779
150	No-no ah, everything 's okay. Everybody 's healthy there 's 30 fingers and 30 toes.	Frank	joy	positive	13	18	5	3	00:17:11,989	00:17:14,407
151	We have our babies?	Alice	surprise	positive	13	19	5	3	00:17:14,908	00:17:16,075
152	Yeah.	Frank	joy	positive	13	20	5	3	00:17:16,410	00:17:17,452
153	Oh, we have our babies.	Alice	joy	positive	13	21	5	3	00:17:18,412	00:17:19,579
154	Hey [NAME]!	Bob	joy	positive	14	0	8	5	0:16:07,675	0:16:08,267
155	Hey [NAME].	Chandler	neutral	neutral	14	1	8	5	0:16:08,267	0:16:09,490
156	It's [NAME] actually. Hey, you work up here, can you tell me where this [NAME]	Bob	neutral	neutral	14	2	8	5	00:16:09,885	00:16:17,225
157	Uhh yeah. Yeah, it's right, right down there. Right there, yeah. Can I ask you why?	Chandler	neutral	neutral	14	3	8	5	00:16:17,393	00:16:25,942
158	I want to talk to that bastard, see what his problem is.	Bob	anger	negative	14	4	8	5	00:16:26,110	00:16:28,945
159	Okay [NAME] listen uhh, I'm the reason you didn't get the job up here.	Chandler	sadness	negative	14	5	8	5	00:16:29,113	00:16:35,410
160	[NAME] don't.	Bob	sadness	negative	14	6	8	5	0:16:35,577	0:16:36,849
161	[NAME]!	Chandler	sadness	negative	14	7	8	5	0:16:36,849	0:16:37,541
162	[NAME]! I'm not gon na let you cover for him. Anything you say right now will just get me more upset with [NAME]!	Bob	anger	negative	14	8	8	5	00:16:37,663	00:16:45,920
164	Thank you. Oh [NAME] and look at this crib! It's so cute!	Rachel	joy	positive	15	0	8	7	00:20:49,414	00:20:58,464
165	I know! I found it on the street.	Joey	joy	positive	15	1	8	7	00:20:58,632	00:21:00,675
166	Are you seriousReally?! It's in such good condition.	Rachel	surprise	positive	15	2	8	7	00:21:00,842	00:21:04,887
167	Yeah.	Joey	neutral	neutral	15	3	8	7	00:21:02,511	00:21:04,887
168	Wow! Whoa-whoa what's under the covers?	Rachel	surprise	negative	15	4	8	7	00:21:05,055	00:21:07,473
169	I don't know.	Joey	neutral	neutral	15	5	8	7	0:21:07,641	0:21:09,060
170	It's moving.	Rachel	fear	negative	15	6	8	7	0:21:09,060	0:21:09,217
171	Ew.	Joey	disgust	negative	15	7	8	7	00:21:09,309	00:21:10,685
172	It's stillIt's got a tail! Get it out of here! Get it out of here!!	Rachel	fear	negative	15	8	8	7	0:21:10,852	0:21:12,479
173	Ooh! [NAME]! Okay!	Joey	fear	negative	15	9	8	7	0:21:12,479	0:21:13,247
174	Well, I went over to Kyle's last night to pick up a few things and we got to reminiscing	Whitney	neutral	neutral	16	0	7	5	00:19:36,842	00:19:44,056
175	we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there. So	Kyle	sadness	negative	16	1	7	5	00:19:44,224	00:19:52,732
176	Oh just say it [NAME]!	Ross	surprise	negative	16	2	7	5	00:19:58,030	00:19:59,697
177	We're gon na give it another try.	Kyle	joy	positive	16	3	7	5	00:20:02,910	00:20:04,785
178	What about her whining and her constant need for attention?!	Phoebe	anger	negative	16	4	7	5	00:20:04,953	00:20:08,581
179	I'm gon na work on that.	Whitney	neutral	neutral	16	5	7	5	00:20:08,749	00:20:09,957
180	Oh right, because you're so capable of change.	Phoebe	anger	negative	16	6	7	5	00:20:10,125	00:20:12,418
181	Y'know, he hums when he pees!	Ross	anger	negative	16	7	7	5	00:20:13,921	00:20:16,088
182	I do know.	Whitney	neutral	neutral	16	8	7	5	0:20:18,050	0:20:19,232
183	It makes him miss the bowl, but whatever.	Ross	disgust	negative	16	9	7	5	0:20:19,232	0:20:22,446
184	We're so sorry.	Whitney	sadness	negative	16	10	7	5	00:20:23,388	00:20:25,348
185	That's all right, we-we don't need you. In fact, hey I'm over it already.	Ross	anger	negative	16	11	7	5	00:20:26,183	00:20:30,019
186	Yeah, and y'know what? I don't give a tiny rat's ass.	Phoebe	anger	negative	16	12	7	5	00:20:30,187	00:20:33,397
187	Yeah, we're gon na go.	Kyle	neutral	neutral	16	13	7	5	00:20:34,900	00:20:36,734
188	I'm sorry. Ugh, Pheebs, you were, you were right about her. Y'know, she	Ross	sadness	negative	16	14	7	5	00:20:40,906	00:20:47,203
189	Oh. Y'know, he hums while he does other stuff to.	Phoebe	neutral	neutral	16	15	7	5	00:20:55,879	00:20:58,965
190	Yeah, we 're better off without them.	Ross	anger	negative	16	16	7	5	00:21:01,093	00:21:04,470
191	And y'know, even if they break up again, you'd better not let him in your sad men's club!	Phoebe	anger	negative	16	17	7	5	00:21:04,846	00:21:09,141
192	Divorced men's club.	Ross	sadness	negative	16	18	7	5	00:21:09,309	00:21:12,603
194	Why isn't that valet back with my [NAME]?	Joey	anger	negative	17	0	6	5	00:14:50,514	00:14:54,183
195	Maybe because you've got the keys?	Passerby	anger	negative	17	1	6	5	00:14:55,603	00:14:57,520
197	This is totally your fault!	Rachel	anger	negative	17	2	6	5	0:15:03,110	0:15:04,582
198	My fault?! You threatened the judge!	Ross	anger	negative	17	3	6	5	0:15:04,582	0:15:07,079
199	Well, you ripped the paper out of the court reporter's machine!!	Rachel	anger	negative	17	4	6	5	00:15:07,197	00:15:10,116
206	[NAME]!	Monica	neutral	neutral	18	0	6	22	0:16:17,351	0:16:18,102
207	Yeah?	Phoebe	neutral	neutral	18	1	6	22	0:16:18,102	0:16:18,406
208	Have you seen [NAME]?!	Monica	neutral	neutral	18	2	6	22	0:16:18,519	0:16:19,401
209	No! Why?	Phoebe	neutral	neutral	18	3	6	22	0:16:19,401	0:16:20,205
210	The woman from the museum called and said that there was a cancellation and that we could move up our wedding and [NAME] heard!	Monica	fear	negative	18	4	6	22	00:16:20,312	00:16:25,566
211	I know!	Monica	fear	negative	18	5	6	22	0:16:26,944	0:16:27,320
212	How bad is this?	Monica	fear	negative	18	6	6	22	0:16:27,320	0:16:28,826
214	Well for the regular guy, it's bad, but [NAME], Oh dear God!	Phoebe	fear	negative	18	7	6	22	00:16:28,946	00:16:33,074
215	I know! I know! And he totally freaked out and I can't find him anywhere!	Monica	fear	negative	18	8	6	22	00:16:34,660	00:16:37,662
216	What are you gon na do?	Phoebe	neutral	neutral	18	9	6	22	0:16:37,830	0:16:38,831
217	Well, I'm never gon na listen to you again, that's for sure!	Monica	anger	negative	18	10	6	22	0:16:38,831	0:16:41,285
218	`` Y'know, harm can it do if you go and put your name down? ''	Monica	neutral	neutral	18	11	6	22	00:16:41,375	00:16:44,669
219	[NAME] said that!	Phoebe	surprise	negative	18	12	6	22	0:16:45,546	0:16:46,728
220	Well Rachel's not here!	Monica	anger	negative	18	13	6	22	0:16:46,728	0:16:47,766
221	Come on, come on.	Ross	neutral	neutral	19	0	1	23	00:14:15,980	00:14:17,730
222	Damnit, damnit, damnit, damnit.	Ross	anger	negative	19	1	1	23	0:14:20,234	0:14:23,156
223	This is all your fault.	Ross	anger	negative	19	2	1	23	0:14:23,156	0:14:24,118
224	This is supposed to be, like, the greatest day of my life, y'know?	Ross	anger	negative	19	3	1	23	00:14:24,280	00:14:26,948
225	My son is being born, and I should be in there, you know, instead of stuck in a closet with you.	Ross	anger	negative	19	4	1	23	00:14:27,116	00:14:32,161
226	The woman I love is having a baby today. I 've been waiting for this just as much as you have.	Susan	anger	negative	19	5	1	23	00:14:32,329	00:14:35,665
227	No no no, believe me.	Ross	anger	negative	19	6	1	23	0:14:35,833	0:14:37,095
228	No one has been waiting for this as much as I have, ok?	Ross	anger	negative	19	7	1	23	0:14:37,095	0:14:39,055
229	And you know what the funny thing is?	Ross	neutral	neutral	19	8	1	23	00:14:39,169	00:14:40,879
230	When this day is over, you get to go home with the baby, ok?	Ross	anger	negative	19	9	1	23	00:14:41,046	00:14:43,631
231	Where does that leave me?	Ross	sadness	negative	19	10	1	23	0:14:43,799	0:14:44,551
232	You get to be the baby 's father.	Susan	neutral	neutral	19	11	1	23	0:14:44,551	0:14:46,275
233	Everyone knows who you are.	Susan	neutral	neutral	19	12	1	23	0:14:46,385	0:14:47,517
234	Who am I?	Susan	anger	negative	19	13	1	23	0:14:47,517	0:14:50,183
235	There 's Mother 's [NAME], there 's Father 's [NAME], there 's no... Lesbian Lover [NAME].	Susan	sadness	negative	19	14	1	23	00:14:50,306	00:14:52,599
236	Every day is Lesbian Lover [NAME].	Ross	neutral	neutral	19	15	1	23	00:14:52,766	00:14:55,226
237	This is so great.	Phoebe	joy	positive	19	16	1	23	00:14:58,063	00:14:59,814
238	You wan na explain that?	Ross	neutral	neutral	19	17	1	23	00:15:03,986	00:15:05,570
239	I mean, well, 'cause when I was growing up, you know my dad left, and my mother died, and my stepfather went to jail, so I barely had enough pieces of parents to make one whole one.	Phoebe	sadness	negative	19	18	1	23	00:15:06,280	00:15:16,664
240	And here 's this little baby who has like three whole parents who care about it so much that they 're fighting over who gets to love it the most.	Phoebe	joy	positive	19	19	1	23	00:15:17,791	00:15:27,842
241	And it 's not even born yet.	Phoebe	sadness	negative	19	20	1	23	00:15:25,424	00:15:27,842
242	It 's just, it 's just the luckiest baby in the whole world.	Phoebe	joy	positive	19	21	1	23	00:15:28,010	00:15:30,553
243	I 'm sorry, you were fighting.	Phoebe	sadness	negative	19	22	1	23	00:15:33,349	00:15:35,433
244	Okay, it 's a typical New [NAME] City apartment. Two girls are just hanging out.	Joey	neutral	neutral	20	0	5	10	00:21:31,498	00:21:37,128
245	Hi, how are you doing [NAME]?	Monica	neutral	neutral	20	1	5	10	00:21:37,879	00:21:41,465
246	I 'm doing just fine! God, [NAME], you smell so great!	Rachel	joy	positive	20	2	5	10	00:21:41,633	00:21:44,385
247	It 's my new perfume. Why do n't you come closer where you can	Monica	neutral	neutral	20	3	5	10	00:21:46,555	00:21:52,643
248	Oh, y'know [NAME], you are sick!	Rachel	disgust	negative	20	4	5	10	0:21:55,230	0:21:57,662
249	This is disgusting!	Monica	disgust	negative	20	5	5	10	0:21:57,662	0:21:58,196
250	I 'm not reading this!	Rachel	disgust	negative	20	6	5	10	00:21:58,317	00:22:00,109
251	What?! Wait-wait-wait! The handsome man was about to enter!!	Joey	surprise	negative	20	7	5	10	00:22:00,277	00:22:04,488
252	All right, I 'll give you this, Mr. Peanut is a better dresser.	Joey	neutral	neutral	21	0	1	20	00:21:27,119	00:21:30,621
253	I mean he 's got the monocle, he 's got the top hat...	Joey	neutral	neutral	21	1	1	20	00:21:30,789	00:21:33,833
254	You know he 's gay?	Phoebe	neutral	neutral	21	2	1	20	00:21:34,001	00:21:35,876
255	I just wan na clarify this : are you outing Mr. Peanut?	Ross	neutral	neutral	21	3	1	20	00:21:38,964	00:21:43,092
256	[NAME]! Hi! Uh- everybody, this is [NAME], [NAME], everybody.	Chandler	neutral	neutral	21	4	1	20	00:21:44,303	00:21:49,765
257	Hi. Hi.	All	neutral	neutral	21	5	1	20	00:21:49,933	00:21:51,142
258	What are you doing here?	Chandler	surprise	positive	21	6	1	20	00:21:51,310	00:21:53,728
259	Well, what?	Chandler	neutral	neutral	22	0	1	4	0:17:41,977	0:17:42,689
260	What?	Chandler	neutral	neutral	22	1	1	4	0:17:42,689	0:17:43,041
261	What is it?	Chandler	neutral	neutral	22	2	1	4	0:17:43,041	0:17:43,563
262	That she left you?	Chandler	surprise	negative	22	3	1	4	0:17:43,563	0:17:44,365
263	That she likes women?	Chandler	neutral	neutral	22	4	1	4	0:17:44,365	0:17:44,908
264	That she left you for another woman that likes women?	Chandler	neutral	neutral	22	5	1	4	00:17:44,938	00:17:47,106
265	[NAME] louder, okay, I think there 's a man on the twelfth floor in a coma that did n't quite hear you...	Ross	anger	negative	22	6	1	4	00:17:47,274	00:17:51,652
266	Then what?	Chandler	neutral	neutral	22	7	1	4	00:17:55,282	00:17:56,365
267	My first time with [NAME] was...	Ross	neutral	neutral	22	8	1	4	00:17:57,493	00:18:00,161
268	What?	Joey	neutral	neutral	22	9	1	4	00:18:03,624	00:18:05,041
269	It was my	Ross	neutral	neutral	22	10	1	4	00:18:07,586	00:18:10,379
